month,start_station_name,time_bin,counts
2022-01,1 Ave & E 110 St,0-10min,605
2022-01,1 Ave & E 110 St,11-20min,222
2022-01,1 Ave & E 110 St,21-30min,75
2022-01,1 Ave & E 110 St,31-40min,19
2022-01,1 Ave & E 110 St,41-50min,7
2022-01,1 Ave & E 110 St,51min+,3
2022-01,1 Ave & E 16 St,0-10min,2096
2022-01,1 Ave & E 16 St,11-20min,725
2022-01,1 Ave & E 16 St,21-30min,186
2022-01,1 Ave & E 16 St,31-40min,67
2022-01,1 Ave & E 16 St,41-50min,17
2022-01,1 Ave & E 16 St,51min+,6
2022-01,1 Ave & E 18 St,0-10min,2148
2022-01,1 Ave & E 18 St,11-20min,798
2022-01,1 Ave & E 18 St,21-30min,200
2022-01,1 Ave & E 18 St,31-40min,59
2022-01,1 Ave & E 18 St,41-50min,15
2022-01,1 Ave & E 18 St,51min+,6
2022-01,1 Ave & E 30 St,0-10min,1162
2022-01,1 Ave & E 30 St,11-20min,627
2022-01,1 Ave & E 30 St,21-30min,94
2022-01,1 Ave & E 30 St,31-40min,43
2022-01,1 Ave & E 30 St,41-50min,22
2022-01,1 Ave & E 30 St,51min+,7
2022-01,1 Ave & E 39 St,0-10min,1088
2022-01,1 Ave & E 39 St,11-20min,653
2022-01,1 Ave & E 39 St,21-30min,190
2022-01,1 Ave & E 39 St,31-40min,38
2022-01,1 Ave & E 39 St,41-50min,21
2022-01,1 Ave & E 39 St,51min+,4
2022-01,1 Ave & E 44 St,0-10min,562
2022-01,1 Ave & E 44 St,11-20min,439
2022-01,1 Ave & E 44 St,21-30min,137
2022-01,1 Ave & E 44 St,31-40min,49
2022-01,1 Ave & E 44 St,41-50min,14
2022-01,1 Ave & E 44 St,51min+,5
2022-01,1 Ave & E 6 St,0-10min,1552
2022-01,1 Ave & E 6 St,11-20min,542
2022-01,1 Ave & E 6 St,21-30min,128
2022-01,1 Ave & E 6 St,31-40min,40
2022-01,1 Ave & E 6 St,41-50min,17
2022-01,1 Ave & E 6 St,51min+,5
2022-01,1 Ave & E 62 St,0-10min,1526
2022-01,1 Ave & E 62 St,11-20min,812
2022-01,1 Ave & E 62 St,21-30min,234
2022-01,1 Ave & E 62 St,31-40min,62
2022-01,1 Ave & E 62 St,41-50min,21
