month,hour,day_of_week,dow_total,dow_duration
2022-01,0,Friday,1660,0 days 00:09:52.916867469
2022-01,0,Monday,1021,0 days 00:11:08.868756121
2022-01,0,Saturday,2606,0 days 00:13:15.463545663
2022-01,0,Sunday,1620,0 days 00:10:53.308641975
2022-01,0,Thursday,1594,0 days 00:10:30.723964868
2022-01,0,Tuesday,965,0 days 00:09:51.080829015
2022-01,0,Wednesday,1137,0 days 00:09:31.726473175
2022-01,1,Friday,883,0 days 00:09:18.511891279
2022-01,1,Monday,617,0 days 00:10:04.491085899
2022-01,1,Saturday,2305,0 days 00:11:46.411279826
2022-01,1,Sunday,1263,0 days 00:10:26.216943784
2022-01,1,Thursday,836,0 days 00:09:44.935406698
2022-01,1,Tuesday,509,0 days 00:09:42.483300589
2022-01,1,Wednesday,556,0 days 00:09:52.764388489
2022-01,2,Friday,468,0 days 00:10:10.282051282
2022-01,2,Monday,334,0 days 00:11:20.344311377
2022-01,2,Saturday,1864,0 days 00:11:53.081545064
2022-01,2,Sunday,857,0 days 00:10:19.010501750
2022-01,2,Thursday,548,0 days 00:09:18.184306569
2022-01,2,Tuesday,309,0 days 00:10:03.165048543
2022-01,2,Wednesday,336,0 days 00:10:13.946428571
2022-01,3,Friday,298,0 days 00:09:10.288590604
2022-01,3,Monday,241,0 days 00:10:47.742738589
2022-01,3,Saturday,950,0 days 00:11:47.736842105
2022-01,3,Sunday,606,0 days 00:10:13.792079207
2022-01,3,Thursday,314,0 days 00:09:33.009554140
2022-01,3,Tuesday,238,0 days 00:11:33.806722689
2022-01,3,Wednesday,264,0 days 00:10:23.409090909
2022-01,4,Friday,362,0 days 00:09:07.218232044
2022-01,4,Monday,381,0 days 00:08:56.034120734
2022-01,4,Saturday,582,0 days 00:11:12.658075601
2022-01,4,Sunday,428,0 days 00:10:15.217289719
2022-01,4,Thursday,370,0 days 00:08:44.151351351
2022-01,4,Tuesday,339,0 days 00:08:33.539823008
2022-01,4,Wednesday,408,0 days 00:07:21.752450980
2022-01,5,Friday,1190,0 days 00:08:37.903361344
2022-01,5,Monday,1518,0 days 00:08:26.013175230
2022-01,5,Saturday,485,0 days 00:09:57.909278350
2022-01,5,Sunday,330,0 days 00:10:17.512121212
2022-01,5,Thursday,1513,0 days 00:08:14.931923331
2022-01,5,Tuesday,1552,0 days 00:08:32.560567010
