month,start_station_name,day_of_week,counts
2022-01,1 Ave & E 110 St,Friday,146
2022-01,1 Ave & E 110 St,Monday,168
2022-01,1 Ave & E 110 St,Saturday,100
2022-01,1 Ave & E 110 St,Sunday,110
2022-01,1 Ave & E 110 St,Thursday,124
2022-01,1 Ave & E 110 St,Tuesday,127
2022-01,1 Ave & E 110 St,Wednesday,156
2022-01,1 Ave & E 16 St,Friday,457
2022-01,1 Ave & E 16 St,Monday,467
2022-01,1 Ave & E 16 St,Saturday,357
2022-01,1 Ave & E 16 St,Sunday,358
2022-01,1 Ave & E 16 St,Thursday,588
2022-01,1 Ave & E 16 St,Tuesday,469
2022-01,1 Ave & E 16 St,Wednesday,401
2022-01,1 Ave & E 18 St,Friday,459
2022-01,1 Ave & E 18 St,Monday,482
2022-01,1 Ave & E 18 St,Saturday,321
2022-01,1 Ave & E 18 St,Sunday,347
2022-01,1 Ave & E 18 St,Thursday,545
2022-01,1 Ave & E 18 St,Tuesday,444
2022-01,1 Ave & E 18 St,Wednesday,628
2022-01,1 Ave & E 30 St,Friday,295
2022-01,1 Ave & E 30 St,Monday,316
2022-01,1 Ave & E 30 St,Saturday,143
2022-01,1 Ave & E 30 St,Sunday,121
2022-01,1 Ave & E 30 St,Thursday,359
2022-01,1 Ave & E 30 St,Tuesday,359
2022-01,1 Ave & E 30 St,Wednesday,362
2022-01,1 Ave & E 39 St,Friday,275
2022-01,1 Ave & E 39 St,Monday,312
2022-01,1 Ave & E 39 St,Saturday,216
2022-01,1 Ave & E 39 St,Sunday,251
2022-01,1 Ave & E 39 St,Thursday,296
2022-01,1 Ave & E 39 St,Tuesday,325
2022-01,1 Ave & E 39 St,Wednesday,319
2022-01,1 Ave & E 44 St,Friday,162
2022-01,1 Ave & E 44 St,Monday,210
2022-01,1 Ave & E 44 St,Saturday,95
2022-01,1 Ave & E 44 St,Sunday,121
2022-01,1 Ave & E 44 St,Thursday,215
2022-01,1 Ave & E 44 St,Tuesday,204
2022-01,1 Ave & E 44 St,Wednesday,199
2022-01,1 Ave & E 6 St,Friday,301
2022-01,1 Ave & E 6 St,Monday,287
2022-01,1 Ave & E 6 St,Saturday,331
2022-01,1 Ave & E 6 St,Sunday,305
2022-01,1 Ave & E 6 St,Thursday,459
2022-01,1 Ave & E 6 St,Tuesday,283
2022-01,1 Ave & E 6 St,Wednesday,318
2022-01,1 Ave & E 62 St,Friday,342
2022-01,1 Ave & E 62 St,Monday,440
2022-01,1 Ave & E 62 St,Saturday,246
2022-01,1 Ave & E 62 St,Sunday,247
2022-01,1 Ave & E 62 St,Thursday,484
2022-01,1 Ave & E 62 St,Tuesday,421
2022-01,1 Ave & E 62 St,Wednesday,481
2022-01,1 Ave & E 68 St,Friday,692
2022-01,1 Ave & E 68 St,Monday,910
2022-01,1 Ave & E 68 St,Saturday,286
2022-01,1 Ave & E 68 St,Sunday,373
2022-01,1 Ave & E 68 St,Thursday,927
2022-01,1 Ave & E 68 St,Tuesday,910
2022-01,1 Ave & E 68 St,Wednesday,959
2022-01,1 Ave & E 78 St,Friday,454
2022-01,1 Ave & E 78 St,Monday,544
2022-01,1 Ave & E 78 St,Saturday,264
2022-01,1 Ave & E 78 St,Sunday,332
2022-01,1 Ave & E 78 St,Thursday,569
2022-01,1 Ave & E 78 St,Tuesday,481
2022-01,1 Ave & E 78 St,Wednesday,530
2022-01,1 Ave & E 94 St,Friday,109
2022-01,1 Ave & E 94 St,Monday,94
2022-01,1 Ave & E 94 St,Saturday,77
2022-01,1 Ave & E 94 St,Sunday,99
2022-01,1 Ave & E 94 St,Thursday,106
2022-01,1 Ave & E 94 St,Tuesday,119
2022-01,1 Ave & E 94 St,Wednesday,102
2022-01,1 Pl & Clinton St,Friday,85
2022-01,1 Pl & Clinton St,Monday,63
2022-01,1 Pl & Clinton St,Saturday,31
2022-01,1 Pl & Clinton St,Sunday,62
2022-01,1 Pl & Clinton St,Thursday,61
2022-01,1 Pl & Clinton St,Tuesday,90
2022-01,1 Pl & Clinton St,Wednesday,80
2022-01,1 St & 6 Ave,Friday,58
2022-01,1 St & 6 Ave,Monday,78
2022-01,1 St & 6 Ave,Saturday,43
2022-01,1 St & 6 Ave,Sunday,62
2022-01,1 St & 6 Ave,Thursday,92
2022-01,1 St & 6 Ave,Tuesday,99
2022-01,1 St & 6 Ave,Wednesday,117
2022-01,10 Ave & W 14 St,Friday,84
2022-01,10 Ave & W 14 St,Monday,175
2022-01,10 Ave & W 14 St,Saturday,177
2022-01,10 Ave & W 14 St,Sunday,280
2022-01,10 Ave & W 14 St,Thursday,169
2022-01,10 Ave & W 14 St,Tuesday,204
2022-01,10 Ave & W 14 St,Wednesday,162
2022-01,10 Ave & W 202 St,Friday,4
2022-01,10 Ave & W 202 St,Monday,5
2022-01,10 Ave & W 202 St,Saturday,4
2022-01,10 Ave & W 202 St,Sunday,3
2022-01,10 Ave & W 202 St,Thursday,3
2022-01,10 Ave & W 202 St,Tuesday,1
2022-01,10 Ave & W 202 St,Wednesday,1
2022-01,10 Ave & W 204 St,Friday,4
2022-01,10 Ave & W 204 St,Monday,3
2022-01,10 Ave & W 204 St,Saturday,7
2022-01,10 Ave & W 204 St,Sunday,2
2022-01,10 Ave & W 204 St,Thursday,6
2022-01,10 Ave & W 204 St,Wednesday,2
2022-01,10 Ave & W 207 St,Friday,15
2022-01,10 Ave & W 207 St,Monday,8
2022-01,10 Ave & W 207 St,Saturday,5
2022-01,10 Ave & W 207 St,Sunday,4
2022-01,10 Ave & W 207 St,Thursday,15
2022-01,10 Ave & W 207 St,Tuesday,13
2022-01,10 Ave & W 207 St,Wednesday,10
2022-01,10 Ave & W 215 St,Friday,14
2022-01,10 Ave & W 215 St,Monday,4
2022-01,10 Ave & W 215 St,Saturday,1
2022-01,10 Ave & W 215 St,Sunday,7
2022-01,10 Ave & W 215 St,Thursday,7
2022-01,10 Ave & W 215 St,Tuesday,8
2022-01,10 Ave & W 215 St,Wednesday,10
2022-01,10 Ave & W 28 St,Friday,448
2022-01,10 Ave & W 28 St,Monday,538
2022-01,10 Ave & W 28 St,Saturday,324
2022-01,10 Ave & W 28 St,Sunday,340
2022-01,10 Ave & W 28 St,Thursday,568
2022-01,10 Ave & W 28 St,Tuesday,556
2022-01,10 Ave & W 28 St,Wednesday,568
2022-01,10 St & 2 Ave,Friday,32
2022-01,10 St & 2 Ave,Monday,53
2022-01,10 St & 2 Ave,Saturday,27
2022-01,10 St & 2 Ave,Sunday,45
2022-01,10 St & 2 Ave,Thursday,47
2022-01,10 St & 2 Ave,Tuesday,48
2022-01,10 St & 2 Ave,Wednesday,52
2022-01,10 St & 5 Ave,Friday,58
2022-01,10 St & 5 Ave,Monday,85
2022-01,10 St & 5 Ave,Saturday,70
2022-01,10 St & 5 Ave,Sunday,85
2022-01,10 St & 5 Ave,Thursday,99
2022-01,10 St & 5 Ave,Tuesday,61
2022-01,10 St & 5 Ave,Wednesday,82
2022-01,10 St & 7 Ave,Friday,117
2022-01,10 St & 7 Ave,Monday,142
2022-01,10 St & 7 Ave,Saturday,66
2022-01,10 St & 7 Ave,Sunday,105
2022-01,10 St & 7 Ave,Thursday,157
