month,hour,counts
2022-01,0,10603
2022-01,1,6969
2022-01,2,4716
2022-01,3,2911
2022-01,4,2870
2022-01,5,8085
2022-01,6,22461
2022-01,7,44593
2022-01,8,63914
2022-01,9,50749
2022-01,10,45700
2022-01,11,50760
2022-01,12,60290
2022-01,13,67139
2022-01,14,76278
2022-01,15,83795
2022-01,16,88461
2022-01,17,92245
2022-01,18,84220
2022-01,19,61698
2022-01,20,40317
2022-01,21,27579
2022-01,22,22247
2022-01,23,14985
2022-02,0,12904
2022-02,1,7455
2022-02,2,5177
2022-02,3,3355
2022-02,4,3426
2022-02,5,8846
2022-02,6,26756
2022-02,7,54819
2022-02,8,80425
2022-02,9,64878
2022-02,10,56366
2022-02,11,61847
2022-02,12,71464
2022-02,13,77076
2022-02,14,83366
2022-02,15,89737
2022-02,16,96613
2022-02,17,111737
2022-02,18,97891
2022-02,19,70432
2022-02,20,48263
2022-02,21,34323
2022-02,22,28206
2022-02,23,20164
2022-03,0,20018
2022-03,1,12017
2022-03,2,8061
2022-03,3,5491
2022-03,4,5306
2022-03,5,12684
2022-03,6,39470
2022-03,7,84182
2022-03,8,124972
2022-03,9,96064
2022-03,10,79156
2022-03,11,85866
2022-03,12,100160
2022-03,13,109598
2022-03,14,121480
2022-03,15,134431
2022-03,16,146289
2022-03,17,180137
2022-03,18,168177
2022-03,19,116678
2022-03,20,75128
2022-03,21,55395
2022-03,22,43102
2022-03,23,31249
2022-04,0,25499
2022-04,1,15631
2022-04,2,10453
2022-04,3,7166
2022-04,4,7007
2022-04,5,13501
2022-04,6,40285
2022-04,7,87074
2022-04,8,133109
2022-04,9,112466
2022-04,10,101394
2022-04,11,113464
2022-04,12,128205
2022-04,13,139923
2022-04,14,152432
2022-04,15,165579
2022-04,16,182391
2022-04,17,219906
2022-04,18,202912
2022-04,19,143075
2022-04,20,91150
2022-04,21,65352
2022-04,22,52259
2022-04,23,39681
2022-05,0,37317
2022-05,1,21996
2022-05,2,14598
2022-05,3,9466
2022-05,4,8731
2022-05,5,17343
2022-05,6,50860
2022-05,7,107042
2022-05,8,159154
2022-05,9,132605
2022-05,10,124020
2022-05,11,140708
2022-05,12,160050
2022-05,13,170588
2022-05,14,190089
2022-05,15,206969
2022-05,16,218243
2022-05,17,257582
2022-05,18,250039
2022-05,19,194350
2022-05,20,135035
2022-05,21,98314
2022-05,22,80584
2022-05,23,57525
2022-06,0,52761
2022-06,1,31896
2022-06,2,20237
2022-06,3,13106
2022-06,4,10974
2022-06,5,21781
2022-06,6,62094
2022-06,7,119785
2022-06,8,178164
2022-06,9,154045
2022-06,10,140749
2022-06,11,158146
2022-06,12,180412
2022-06,13,195070
2022-06,14,208763
2022-06,15,221718
2022-06,16,245138
2022-06,17,294985
2022-06,18,293402
2022-06,19,233784
2022-06,20,173917
2022-06,21,126973
2022-06,22,104953
2022-06,23,80259
