month,Date,member_casual,member_total,member_duration
2022-01,01/01/2022,casual,5919,16.86
2022-01,01/01/2022,member,14115,11.63
2022-01,01/02/2022,casual,10964,17.78
2022-01,01/02/2022,member,31117,12.03
2022-01,01/03/2022,casual,4301,12.58
2022-01,01/03/2022,member,28810,10.02
2022-01,01/04/2022,casual,4917,14.12
2022-01,01/04/2022,member,31639,10.42
2022-01,01/05/2022,casual,4748,13.4
2022-01,01/05/2022,member,29479,10.87
2022-01,01/06/2022,casual,6383,13.89
2022-01,01/06/2022,member,38665,10.8
2022-01,01/07/2022,casual,2270,13.02
2022-01,01/07/2022,member,15031,11.22
2022-01,01/08/2022,casual,3859,14.03
2022-01,01/08/2022,member,20428,11.19
2022-01,01/09/2022,casual,3412,13.41
2022-01,01/09/2022,member,18073,10.69
2022-01,01/10/2022,casual,3892,12.35
2022-01,01/10/2022,member,31062,10.42
2022-01,01/11/2022,casual,2704,11.56
2022-01,01/11/2022,member,24445,9.73
2022-01,01/12/2022,casual,4856,12.94
2022-01,01/12/2022,member,35938,10.74
2022-01,01/13/2022,casual,7200,13.59
2022-01,01/13/2022,member,43930,11.09
2022-01,01/14/2022,casual,6615,12.87
2022-01,01/14/2022,member,39472,10.53
2022-01,01/15/2022,casual,3368,11.7
2022-01,01/15/2022,member,19958,9.23
2022-01,01/16/2022,casual,3170,13.11
2022-01,01/16/2022,member,17996,9.81
2022-01,01/17/2022,casual,4004,12.43
2022-01,01/17/2022,member,25555,9.93
2022-01,01/18/2022,casual,5046,11.98
2022-01,01/18/2022,member,38613,10.15
2022-01,01/19/2022,casual,7197,13.23
2022-01,01/19/2022,member,47595,10.78
2022-01,01/20/2022,casual,4253,11.86
2022-01,01/20/2022,member,30303,9.99
2022-01,01/21/2022,casual,3925,11.08
2022-01,01/21/2022,member,30798,9.34
2022-01,01/22/2022,casual,5250,13.58
2022-01,01/22/2022,member,27302,10.03
2022-01,01/23/2022,casual,5576,14.08
2022-01,01/23/2022,member,27730,10.55
2022-01,01/24/2022,casual,4658,12.01
2022-01,01/24/2022,member,37669,10.15
2022-01,01/25/2022,casual,6133,12.4
2022-01,01/25/2022,member,45390,10.49
2022-01,01/26/2022,casual,4691,11.1
2022-01,01/26/2022,member,38297,9.86
2022-01,01/27/2022,casual,5128,12.17
2022-01,01/27/2022,member,39603,9.97
2022-01,01/28/2022,casual,3933,11.94
2022-01,01/28/2022,member,31552,10.21
2022-01,01/29/2022,casual,482,14.02
2022-01,01/29/2022,member,2358,12.64
2022-01,01/30/2022,casual,1054,14.02
2022-01,01/30/2022,member,8413,11.79
2022-01,01/31/2022,casual,2100,12.52
2022-01,01/31/2022,member,20489,11.53
2022-02,02/01/2022,casual,2920,12.66
2022-02,02/01/2022,member,26778,11.39
2022-02,02/02/2022,casual,4804,12.96
2022-02,02/02/2022,member,37679,11.43
2022-02,02/03/2022,casual,3172,11.69
2022-02,02/03/2022,member,23876,10.04
2022-02,02/04/2022,casual,2265,10.96
2022-02,02/04/2022,member,18626,9.34
2022-02,02/05/2022,casual,4781,12.21
2022-02,02/05/2022,member,26861,9.31
2022-02,02/06/2022,casual,4589,13.38
2022-02,02/06/2022,member,25285,9.95
2022-02,02/07/2022,casual,3018,11.44
2022-02,02/07/2022,member,28409,9.92
2022-02,02/08/2022,casual,6138,12.58
2022-02,02/08/2022,member,46847,10.58
2022-02,02/09/2022,casual,6832,12.79
2022-02,02/09/2022,member,50079,10.68
2022-02,02/10/2022,casual,8989,13.74
2022-02,02/10/2022,member,53822,10.91
2022-02,02/11/2022,casual,11408,15.0
2022-02,02/11/2022,member,53645,11.16
2022-02,02/12/2022,casual,19236,18.5
2022-02,02/12/2022,member,48810,12.82
2022-02,02/13/2022,casual,3344,12.41
2022-02,02/13/2022,member,17330,10.13
2022-02,02/14/2022,casual,3634,11.03
2022-02,02/14/2022,member,31856,9.48
2022-02,02/15/2022,casual,4378,11.36
2022-02,02/15/2022,member,37240,9.82
2022-02,02/16/2022,casual,6837,12.74
2022-02,02/16/2022,member,47724,10.68
2022-02,02/17/2022,casual,11328,15.24
2022-02,02/17/2022,member,56785,11.56
2022-02,02/18/2022,casual,7151,13.76
2022-02,02/18/2022,member,40586,10.31
2022-02,02/19/2022,casual,6030,14.64
2022-02,02/19/2022,member,26920,10.28
2022-02,02/20/2022,casual,6094,15.7
2022-02,02/20/2022,member,25277,10.72
2022-02,02/21/2022,casual,11561,17.32
2022-02,02/21/2022,member,40934,11.68
2022-02,02/22/2022,casual,4820,13.35
2022-02,02/22/2022,member,32080,10.31
2022-02,02/23/2022,casual,11866,16.17
2022-02,02/23/2022,member,54992,11.63
2022-02,02/24/2022,casual,5536,12.18
2022-02,02/24/2022,member,40058,10.02
2022-02,02/25/2022,casual,4084,12.43
2022-02,02/25/2022,member,27009,10.11
2022-02,02/26/2022,casual,8593,14.95
2022-02,02/26/2022,member,33380,10.78
2022-02,02/27/2022,casual,9251,16.12
2022-02,02/27/2022,member,33927,11.35
2022-02,02/28/2022,casual,5507,12.82
2022-02,02/28/2022,member,40941,10.18
2022-03,03/01/2022,casual,7127,12.97
2022-03,03/01/2022,member,49607,10.51
2022-03,03/02/2022,casual,10038,14.27
2022-03,03/02/2022,member,57723,11.11
2022-03,03/03/2022,casual,7401,12.87
2022-03,03/03/2022,member,48774,10.52
2022-03,03/04/2022,casual,7650,13.15
2022-03,03/04/2022,member,42920,10.2
2022-03,03/05/2022,casual,11633,15.85
2022-03,03/05/2022,member,39957,11.27
2022-03,03/06/2022,casual,14279,17.63
2022-03,03/06/2022,member,39929,12.61
2022-03,03/07/2022,casual,12214,15.79
2022-03,03/07/2022,member,56122,11.4
2022-03,03/08/2022,casual,8933,13.71
2022-03,03/08/2022,member,54033,10.75
2022-03,03/09/2022,casual,3106,11.12
2022-03,03/09/2022,member,25526,9.66
2022-03,03/10/2022,casual,10179,13.81
2022-03,03/10/2022,member,56882,10.84
2022-03,03/11/2022,casual,13558,15.58
2022-03,03/11/2022,member,55936,11.11
2022-03,03/12/2022,casual,3484,12.12
2022-03,03/12/2022,member,16618,9.23
2022-03,03/13/2022,casual,5456,14.04
2022-03,03/13/2022,member,25755,10.06
2022-03,03/14/2022,casual,11162,15.73
2022-03,03/14/2022,member,52543,11.06
2022-03,03/15/2022,casual,15105,16.48
2022-03,03/15/2022,member,63938,11.78
2022-03,03/16/2022,casual,16027,16.54
2022-03,03/16/2022,member,65593,11.72
2022-03,03/17/2022,casual,8317,14.14
2022-03,03/17/2022,member,42304,10.53
2022-03,03/18/2022,casual,24133,18.58
2022-03,03/18/2022,member,67799,12.4
2022-03,03/19/2022,casual,24116,19.14
2022-03,03/19/2022,member,52298,13.06
2022-03,03/20/2022,casual,18525,17.88
2022-03,03/20/2022,member,46121,12.42
2022-03,03/21/2022,casual,14190,16.48
2022-03,03/21/2022,member,58879,11.73
2022-03,03/22/2022,casual,13506,15.6
2022-03,03/22/2022,member,62304,11.51
2022-03,03/23/2022,casual,9271,13.67
2022-03,03/23/2022,member,52284,10.49
2022-03,03/24/2022,casual,6496,12.61
2022-03,03/24/2022,member,40133,10.28
2022-03,03/25/2022,casual,16151,16.32
2022-03,03/25/2022,member,59041,11.36
2022-03,03/26/2022,casual,16929,16.53
2022-03,03/26/2022,member,45023,11.52
2022-03,03/27/2022,casual,10575,15.53
2022-03,03/27/2022,member,35233,10.85
2022-03,03/28/2022,casual,4258,11.32
2022-03,03/28/2022,member,34532,9.72
2022-03,03/29/2022,casual,5740,12.06
2022-03,03/29/2022,member,43516,10.08
2022-03,03/30/2022,casual,8536,13.17
2022-03,03/30/2022,member,53569,10.66
2022-03,03/31/2022,casual,12683,14.86
2022-03,03/31/2022,member,60300,11.21
2022-04,04/01/2022,casual,13435,14.76
2022-04,04/01/2022,member,55561,10.75
2022-04,04/02/2022,casual,21414,18.29
2022-04,04/02/2022,member,50814,12.33
2022-04,04/03/2022,casual,8162,14.16
2022-04,04/03/2022,member,29267,10.58
2022-04,04/04/2022,casual,11781,15.18
