,start_station_name,start_lat,start_lng
2140265,1 Ave & E 110 St,40.792,-73.938
7306936,1 Ave & E 16 St,40.732,-73.982
9670212,1 Ave & E 18 St,40.734,-73.981
3857301,1 Ave & E 30 St,40.741,-73.975
7712538,1 Ave & E 39 St,40.747,-73.971
9379722,1 Ave & E 44 St,40.75,-73.969
4212114,1 Ave & E 6 St,40.726,-73.986
4380246,1 Ave & E 62 St,40.761,-73.961
1337749,1 Ave & E 68 St,40.765,-73.958
8668923,1 Ave & E 78 St,40.771,-73.954
5578771,1 Ave & E 94 St,40.782,-73.946
1324836,1 Pl & Clinton St,40.681,-73.999
2984114,1 St & 6 Ave,40.673,-73.98
5854941,10 Ave & W 14 St,40.742,-74.008
11951674,10 Ave & W 202 St,40.861,-73.921
6914869,10 Ave & W 204 St,40.863,-73.92
12732693,10 Ave & W 207 St,40.865,-73.919
4317252,10 Ave & W 215 St,40.869,-73.915
2362081,10 Ave & W 28 St,40.751,-74.002
2901715,10 St & 2 Ave,40.672,-73.994
12570653,10 St & 5 Ave,40.669,-73.987
9046591,10 St & 7 Ave,40.666,-73.982
10044055,11 Ave & Prospect Ave,40.656,-73.977
4519726,11 Ave & W 27 St,40.751,-74.005
1672385,11 Ave & W 41 St,40.76,-73.999
8013874,11 Ave & W 59 St,40.771,-73.99
12539447,11 St & 43 Ave,40.752,-73.948
8166345,12 Ave & 36 St,40.644,-73.986
5384319,12 Ave & W 125 St,40.818,-73.96
7522802,12 Ave & W 40 St,40.761,-74.003
11500305,12 St & 4 Ave,40.669,-73.99
7614798,14 St & 5 Ave,40.666,-73.989
6615615,14 St & 7 Ave,40.664,-73.984
8447081,16th St & 4th Ave,40.666,-73.992
4099853,17 St & 5 Ave,40.663,-73.991
6350437,18 St & 27 Ave,40.773,-73.927
4389208,19 St & 24 Ave,40.777,-73.923
7137556,19 St & 8 Ave,40.658,-73.986
6627788,2 Av & 37 St,40.656,-74.01
10870592,2 Ave & 32 St,40.659,-74.007
11043025,2 Ave & 36 St,40.657,-74.009
10245959,2 Ave & E 104 St,40.789,-73.944
9923963,2 Ave & E 122 St,40.801,-73.935
