month,station,scount,scount_duration
2022-01,1 Ave & E 110 St,931,9.931650554958825
2022-01,1 Ave & E 16 St,3097,9.238483478635239
2022-01,1 Ave & E 18 St,3226,9.33200557966522
2022-01,1 Ave & E 30 St,1955,10.30537084398977
2022-01,1 Ave & E 39 St,1994,11.059361417586093
2022-01,1 Ave & E 44 St,1206,12.578731343283582
2022-01,1 Ave & E 6 St,2284,9.07456217162872
2022-01,1 Ave & E 62 St,2661,10.708712263560066
2022-01,1 Ave & E 68 St,5058,12.88638790035587
2022-01,1 Ave & E 78 St,3177,11.239654810617983
2022-01,1 Ave & E 94 St,706,11.61697355996223
2022-01,1 Pl & Clinton St,472,9.108050847457626
2022-01,1 St & 6 Ave,549,10.991681845780207
2022-01,10 Ave & W 14 St,1251,14.564255262456703
2022-01,10 Ave & W 202 St,21,16.269841269841272
2022-01,10 Ave & W 204 St,24,12.627083333333333
2022-01,10 Ave & W 207 St,70,6.573095238095238
2022-01,10 Ave & W 215 St,51,4.298692810457517
2022-01,10 Ave & W 28 St,3342,10.019818471972872
2022-01,10 St & 2 Ave,304,11.92467105263158
2022-01,10 St & 5 Ave,540,10.322685185185184
2022-01,10 St & 7 Ave,852,9.544659624413146
2022-01,11 Ave & Prospect Ave,325,11.007641025641027
2022-01,11 Ave & W 27 St,1661,11.90176600441501
2022-01,11 Ave & W 41 St,3585,10.352877731287773
2022-01,11 Ave & W 59 St,1429,12.44920690459529
2022-01,11 St & 43 Ave,203,11.719950738916257
2022-01,12 Ave & 36 St,115,13.382028985507247
2022-01,12 Ave & W 125 St,474,19.699789029535868
2022-01,12 Ave & W 40 St,1579,17.706459784673843
2022-01,12 St & 4 Ave,379,11.101099384344767
2022-01,14 St & 5 Ave,438,10.988698630136987
2022-01,14 St & 7 Ave,666,10.318218218218218
2022-01,16th St & 4th Ave,144,11.05787037037037
2022-01,17 St & 5 Ave,548,11.868826034063261
2022-01,18 St & 27 Ave,329,10.325025329280649
2022-01,19 St & 24 Ave,216,9.802160493827161
2022-01,19 St & 8 Ave,107,10.98613707165109
2022-01,2 Av & 37 St,31,18.033870967741933
2022-01,2 Ave & 32 St,53,14.512264150943397
2022-01,2 Ave & 36 St,100,14.199000000000002
2022-01,2 Ave & E 104 St,729,10.369272976680383
2022-01,2 Ave & E 122 St,380,11.120263157894737
2022-01,2 Ave & E 125 St,394,11.659940778341793
2022-01,2 Ave & E 29 St,2381,10.35072798544029
2022-01,2 Ave & E 31 St,2878,10.340132036136206
2022-01,2 Ave & E 55 St,1281,12.305425448868071
2022-01,2 Ave & E 72 St,2635,11.915876027830487
2022-01,2 Ave & E 96 St,1478,10.60196211096076
2022-01,2 Ave & E 99 St,764,10.4543630017452
2022-01,20 Ave & 21 St,80,8.994375000000002
2022-01,20 Ave & 33 St,65,13.217179487179488
2022-01,20 Ave & 38 St,177,9.233333333333333
2022-01,20 Ave & 42 St,68,10.826225490196078
2022-01,20 Ave & 48 St,22,14.032575757575758
2022-01,20 Ave & Shore Blvd,16,12.160416666666666
2022-01,21 Ave & 80 St,30,18.932222222222222
2022-01,21 Ave & Crescent St,267,9.330212234706616
2022-01,21 Ave & Shore Blvd,76,7.798684210526316
2022-01,21 St & 21 Ave,204,8.907516339869282
2022-01,21 St & 23 Ave,128,8.130598958333334
2022-01,21 St & 31 Dr,308,8.011201298701298
2022-01,21 St & 36 Ave,112,10.470089285714286
2022-01,21 St & 38 Ave,119,9.97857142857143
2022-01,21 St & 4 Ave,202,12.260313531353136
2022-01,21 St & 43 Ave,243,13.862277091906721
2022-01,21 St & Hoyt Ave S,187,11.719162210338682
2022-01,21 St & Queens Plaza North,415,8.13718875502008
2022-01,23 Ave & 27 St,216,9.825848765432099
2022-01,23 Rd & 31 St,105,8.852380952380953
2022-01,23 St & 3 Ave,43,15.658139534883723
2022-01,24 Ave & 26 St,241,10.280082987551868
2022-01,24 Ave & 29 St,268,10.089241293532337
2022-01,24 St & 38 Ave,213,10.730438184663537
2022-01,24 St & 41 Ave,380,9.275131578947368
2022-01,24 St & 5 Ave,173,13.544990366088632
2022-01,25 Ave & 41 St,311,8.058896034297963
2022-01,27 Ave & 3 St,12,12.388888888888888
2022-01,27 Ave & 9 St,326,10.44836400817996
2022-01,27 St & Hunter St,492,12.848306233062331
2022-01,28 Ave & 35 St,361,9.125992613111727
2022-01,28 Ave & 44 St,302,10.316335540838852
2022-01,28 St & 36 Ave,296,10.624324324324325
2022-01,28 St & 41 Ave,542,11.095356703567036
2022-01,29 St & 5 Ave,69,11.771739130434783
2022-01,3 Ave & 14 St,291,10.588659793814434
2022-01,3 Ave & 17 St,95,11.994912280701755
2022-01,3 Ave & Carroll St,296,9.752927927927928
2022-01,3 Ave & E 100 St,432,9.138233024691358
2022-01,3 Ave & E 112 St,227,11.455212922173276
2022-01,3 Ave & E 163 St,86,11.274418604651164
2022-01,3 Ave & E 169 St,77,11.10021645021645
2022-01,3 Ave & E 170 St,65,10.53897435897436
2022-01,3 Ave & E 172 St,41,16.278455284552845
2022-01,3 Ave & E 174 St - Bathgate Vaccination Site,88,13.69469696969697
2022-01,3 Ave & E 62 St,1295,11.293153153153153
2022-01,3 Ave & E 71 St,810,11.640637860082304
2022-01,3 Ave & E 72 St,717,10.734983728498372
2022-01,3 Ave & Franklin Ave,26,13.607051282051284
2022-01,3 Ave & Schermerhorn St,727,11.065772581384685
2022-01,3 Ave & Wakeman Pl,33,21.21767676767677
2022-01,3 St & 3 Ave,497,10.34560697518444
2022-01,3 St & 7 Ave,898,9.67750556792873
2022-01,3 St & Hoyt St,297,10.157912457912458
2022-01,3 St & Prospect Park West,980,11.585017006802723
2022-01,30 Ave & 21 St,264,9.909911616161617
2022-01,30 Ave & 41 St,309,8.591531823085221
2022-01,30 Ave & 47 St,172,9.49718992248062
2022-01,30 St & 4 Ave,112,12.459970238095238
2022-01,31 Ave & 14 St,268,8.743159203980099
2022-01,31 Ave & 30 St,450,10.262555555555554
2022-01,31 Ave & 34 St,585,10.425441595441596
2022-01,31 Ave & 57 St,46,8.24963768115942
