month,rideable_type,member_casual,type_total,type_duration
2022-01,classic_bike,casual,61724,14.36
2022-01,classic_bike,member,528917,10.65
2022-01,electric_bike,casual,80284,12.59
2022-01,electric_bike,member,362908,10.19
2022-02,classic_bike,casual,83130,15.71
2022-02,classic_bike,member,586168,10.97
2022-02,electric_bike,casual,105036,13.53
2022-02,electric_bike,member,441588,10.43
2022-03,classic_bike,casual,177578,16.77
2022-03,classic_bike,member,909852,11.21
2022-03,electric_bike,casual,173200,14.65
2022-03,electric_bike,member,595340,11.07
2022-04,classic_bike,casual,321048,17.83
2022-04,classic_bike,member,1123728,11.66
2022-04,electric_bike,casual,211127,15.96
2022-04,electric_bike,member,595356,11.99
2022-05,classic_bike,casual,419646,18.12
2022-05,classic_bike,member,1625826,12.46
2022-05,electric_bike,casual,187880,16.76
2022-05,electric_bike,member,612004,12.95
2022-06,classic_bike,casual,550490,18.19
2022-06,classic_bike,member,1924467,12.53
2022-06,electric_bike,casual,205880,17.3
2022-06,electric_bike,member,644838,13.02
